Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_010.jpg;0;1;0;0.290543;99.50794;89.17778;1.255164;40.20658;-0.0004885825
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_061.jpg;0;1;0;0.3266675;99.52354;89.19082;1.287827;40.22503;-0.005135305
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_111.jpg;0;1;0;0.3857701;99.53431;89.19991;1.208564;40.20105;-0.0005340474
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_162.jpg;0;1;0;0.4333332;99.55284;89.21541;1.112151;40.1004;0.0008699991
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_211.jpg;0;1;0;0.4754496;99.56693;89.22718;1.085735;40.13299;-0.0008317782
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_262.jpg;0;1;0;0.5143265;99.591;89.24734;1.108462;40.09061;-0.0001307052
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_310.jpg;0;1;0;0.5634331;99.60858;89.26204;1.148563;40.06637;-0.0004230231
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_362.jpg;0;1;0;0.5902857;99.63657;89.28541;1.211065;40.10565;-0.00205229
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_413.jpg;0;1;0;0.6425225;99.66654;89.31049;1.247513;40.14399;-0.001444447
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_461.jpg;0;1;0;0.6586987;99.68685;89.32746;1.219856;40.14612;-0.0007250715
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_510.jpg;0;1;0;0.7261989;99.7085;89.34557;1.197521;40.0822;-0.0005868841
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_561.jpg;0;1;0;0.7544377;99.74326;89.37457;1.189457;39.92326;0.0009047146
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_611.jpg;0;1;0;0.8054965;99.76779;89.395;1.191331;39.84977;-0.0002998994
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_661.jpg;0;1;0;0.8492898;99.80681;89.42738;1.209034;39.83266;-0.001183274
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_711.jpg;0;1;0;0.8940493;99.8345;89.45035;1.231538;39.85212;-0.001109041
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_761.jpg;0;1;0;0.927732;99.87785;89.48627;1.251516;39.8512;-0.0009754022
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_812.jpg;0;1;0;0.9833755;99.90778;89.51105;1.249226;39.84698;-0.0009703843
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_861.jpg;0;1;0;1.015674;99.95427;89.54953;1.226526;39.84011;-0.0008678463
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_911.jpg;2.273405;1;0;1.046948;99.98613;89.57617;1.205636;39.87472;-0.0006181623
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_56_962.jpg;4.501508;1;0;1.087656;100.0355;89.6189;1.208079;40.10661;0.003073414
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_011.jpg;6.772738;1;0;1.132626;100.0692;89.64902;1.216438;40.33892;0.004553401
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_062.jpg;9.002088;1;0;1.163649;100.1202;89.69681;1.215491;40.91518;0.01494232
C:\Users\pasan\Desktop\MarsSimulator\Mars Photo Analiser\MappingRobot\MappingRobot\IMG\robocam_2023_12_18_16_23_57_111.jpg;11.27649;1;0;1.205878;100.1545;89.73044;1.216573;41.43502;0.02404603
